Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
9637544,"La clessidra di Aldibah (La ragazza drago, #3)",Licia Troisi,"Troisi, Licia",Mauro Marchesi,"=""8804600497""","=""9788804600497""",5.0,Mondadori,Hardcover,259.0,2010.0,2010.0,2023/07/20,2023/07/22,,,read,,,,1,0,Unknown
48650691,La Sirenetta - Magiche Fiabe Disney,Walt Disney Company,"Company, Walt Disney",,"=""""","=""""",5.0,De Agostini,Hardcover,25.0,2005.0,1989.0,2019/10/27,2019/10/31,,,read,,,,1,0,Unknown
55590812,Dance factor (Italian Edition),Aurora Marsotto,"Marsotto, Aurora",,"=""8858525299""","=""9788858525296""",5.0,Piemme,Kindle Edition,113.0,2020.0,,2023/07/06,2023/07/08,,,read,,,,1,0,Unknown
28146551,"Un criceto su internet (Freddy, #2)",Dietlof Reiche,"Reiche, Dietlof","Antongionata Ferrari, Maria Pia Chiodi","=""8838478961""","=""9788838478963""",5.0,PIEMME Junior,Paperback,119.0,2002.0,1999.0,2023/07/05,2023/07/08,,,read,,,,1,0,Unknown
29066159,Un sogno in TV,Mathilde Bonetti,"Bonetti, Mathilde",Benedetta Barone,"=""8856635224""","=""9788856635225""",5.0,Piemme,Paperback,147.0,2014.0,2014.0,2023/07/06,2023/07/06,,,read,,,,1,0,Unknown
49784760,Stella Bianca - 1. La ragazza che parla ai cavalli,Mathilde Bonetti,"Bonetti, Mathilde",,"=""8852094717""","=""9788852094712""",5.0,MONDADORI,Kindle Edition,199.0,2019.0,,2020/08/05,2020/07/26,,,read,,,,2,0,Unknown
52676583,Stella Bianca - 2. La stagione degli amori,Mathilde Bonetti,"Bonetti, Mathilde",,"=""""","=""""",5.0,Mondadori,Paperback,182.0,2019.0,,2020/08/21,2020/08/08,,,read,,,,2,0,Unknown
52860907,"Stella Bianca - 3. Puledri, baci e gelosie",Mathilde Bonetti,"Bonetti, Mathilde",,"=""""","=""9788852094736""",5.0,MONDADORI,Kindle Edition,175.0,2019.0,,2020/09/08,2020/08/23,,,read,,,,2,0,Unknown
45319772,Il Draghetto delle Nuvole,Daniele Lippi,"Lippi, Daniele",,"=""""","=""""",4.0,,Kindle Edition,28.0,2019.0,,2019/04/28,2019/07/21,,,read,,,,1,0,Unknown
50260508,Nel mondo dei cuccioli,Giunti Kids,"Kids, Giunti",,"=""880903709X""","=""9788809037090""",5.0,Giunti Kids,Hardcover,80.0,2004.0,,2019/06/01,2020/01/03,,,read,,,,1,0,Unknown
49366863,Le nuove avventure della gatta magica,Mathilde Bonetti,"Bonetti, Mathilde",,"=""8856639777""","=""9788856639773""",5.0,Piemme,Paperback,0.0,2014.0,,2019/06/01,2020/04/23,,,read,,,,1,0,Unknown
31694374,Rani e le sirene. Fairies. Il mondo segreto di Trilli,Lisa Papademetriou,"Papademetriou, Lisa",F. Menichella,"=""8852206337""","=""9788852206337""",5.0,Disney Libri,Paperback,124.0,2008.0,2006.0,2019/06/18,2019/07/21,,,read,,,,1,0,Unknown
